currency,rub_per_unit,200k_rub_monthly_in_currency,chechnya_budget_per_capita_2026_in_currency
KZT,0.181743,1100455.0381582784,542608.9954826322
BYN,28.2702,7074.587374691371,3488.3158472879572
AMD,0.231111,865385.0314351112,426701.3974497103
AZN,49.7323,4021.531278464901,1982.9243100761478
UZS,0.00708206,28240370.73958707,13924675.400377857
KGS,0.96678,206872.2977306109,102003.95815594035
TJS,9.12736,21912.141079129124,10804.371325991306
MDL,4.88098,40975.377895422636,20204.013674712867
